family,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Narkidae,1,1,1,1,0,0,0,0,0,0,1
Nemacheilidae,1,1,1,1,1,1,0,1,1,0,0
Nematistiidae,0,0,0,0,0,0,1,0,0,0,0
Nematogenyidae,0,0,1,0,0,0,0,0,0,0,0
Nemichthyidae,1,0,0,0,0,0,0,0,0,0,0
Nemipteridae,1,1,1,0,0,1,1,1,1,1,1
Neoceratodontidae,1,0,0,0,0,0,0,0,0,0,0
Neoscopelidae,1,0,1,0,0,0,0,0,0,0,0
Neosebastidae,0,1,1,0,0,0,0,0,1,1,0
Nettastomatidae,1,0,0,0,0,1,0,0,0,0,0
Nomeidae,1,1,1,0,1,0,0,0,1,0,0
Normanichthyidae,1,0,0,0,0,0,0,0,0,0,0
Notacanthidae,1,1,0,0,0,0,0,0,0,0,0
Nothobranchiidae,1,1,1,1,1,1,1,1,0,1,1
Notocheiridae,1,0,0,0,0,1,0,0,0,0,0
Notopteridae,1,0,1,1,1,0,0,1,0,1,0
Notosudidae,1,0,0,0,0,0,0,0,0,0,0
Nototheniidae,1,1,1,1,0,0,0,1,1,0,0
Odacidae,0,1,1,0,0,1,0,1,1,0,1
Odontaspididae,1,0,1,0,0,0,0,0,0,0,0
Odontobutidae,1,1,1,0,1,0,0,1,1,0,0
Ogcocephalidae,1,1,1,1,1,0,0,0,0,1,0
Olyridae,1,0,0,0,0,1,0,0,0,0,1
Omosudidae,1,0,0,0,0,0,0,0,0,0,0
Oneirodidae,1,1,0,0,0,0,0,0,0,0,0
Ophichthidae,1,1,1,1,1,1,0,1,1,0,1
Ophidiidae,1,1,1,1,1,1,1,1,0,0,0
Opisthoproctidae,1,0,0,1,0,0,0,0,0,0,1
Opistognathidae,1,1,1,1,1,1,0,1,1,1,1
Oplegnathidae,1,0,1,1,1,0,0,1,0,0,0
Orectolobidae,0,1,1,1,1,0,0,0,1,0,0
Oreosomatidae,1,0,0,0,0,0,0,0,0,0,0
Osmeridae,1,0,0,0,0,0,0,0,0,0,0
Osphronemidae,1,1,1,1,1,1,1,1,0,1,1
Osteoglossidae,1,0,1,0,0,0,0,0,0,0,0
Ostraciidae,0,1,1,1,1,1,0,0,0,0,1
Ostracoberycidae,1,0,0,0,0,0,0,0,0,0,0
Owstoniidae,1,0,0,0,0,0,0,0,0,0,0
Oxynotidae,1,0,0,0,0,0,0,0,0,0,0
Pangasiidae,1,0,0,0,0,0,0,0,0,1,0
Pantodontidae,1,0,0,0,0,0,0,0,0,0,0
Parabembridae,1,0,0,0,0,0,0,0,0,0,0
Paralepididae,1,0,1,0,0,1,0,0,0,0,0
Paralichthyidae,1,1,1,1,0,1,0,1,0,1,0
Parascorpididae,1,0,0,0,0,0,0,0,0,0,0
Parascylliidae,0,0,0,1,0,0,0,0,0,0,0
