,file_base,png_file_q,A,C,lightness,complexity
32,rd_out/uni/MB_1_A0.1014_C-0.066,rd_out/uni/MB_1_A0.1014_C-0.066_02000.png,0.1013793103448276,-0.06551724137931035,0.08870181405895691,0.16430205778741047
33,rd_out/uni/MB_1_A0.1038_C-0.066,rd_out/uni/MB_1_A0.1038_C-0.066_02000.png,0.10379310344827587,-0.06551724137931035,0.1433843537414966,0.19866756428932875
34,rd_out/uni/MB_1_A0.1062_C-0.066,rd_out/uni/MB_1_A0.1062_C-0.066_02000.png,0.10620689655172416,-0.06551724137931035,0.20483560090702949,0.21588849411665634
35,rd_out/uni/MB_1_A0.1086_C-0.066,rd_out/uni/MB_1_A0.1086_C-0.066_02000.png,0.10862068965517242,-0.06551724137931035,0.2188265306122449,0.2209853820383133
36,rd_out/uni/MB_1_A0.1110_C-0.066,rd_out/uni/MB_1_A0.1110_C-0.066_02000.png,0.1110344827586207,-0.06551724137931035,0.2613888888888889,0.3215955362826213
37,rd_out/uni/MB_1_A0.1134_C-0.066,rd_out/uni/MB_1_A0.1134_C-0.066_02000.png,0.11344827586206895,-0.06551724137931035,0.28536281179138323,0.32755632307492466
38,rd_out/uni/MB_1_A0.1159_C-0.066,rd_out/uni/MB_1_A0.1159_C-0.066_02000.png,0.11586206896551725,-0.06551724137931035,0.3012641723356009,0.3278536692372109
39,rd_out/uni/MB_1_A0.1183_C-0.066,rd_out/uni/MB_1_A0.1183_C-0.066_02000.png,0.11827586206896552,-0.06551724137931035,0.3328968253968254,0.4551108854618956
40,rd_out/uni/MB_1_A0.1207_C-0.066,rd_out/uni/MB_1_A0.1207_C-0.066_02000.png,0.1206896551724138,-0.06551724137931035,0.351609977324263,0.5531781514996674
41,rd_out/uni/MB_1_A0.1231_C-0.066,rd_out/uni/MB_1_A0.1231_C-0.066_02000.png,0.12310344827586207,-0.06551724137931035,0.3894387755102041,0.5799220211282246
42,rd_out/uni/MB_1_A0.1255_C-0.066,rd_out/uni/MB_1_A0.1255_C-0.066_02000.png,0.12551724137931036,-0.06551724137931035,0.3995804988662132,0.6935830890310735
43,rd_out/uni/MB_1_A0.1279_C-0.066,rd_out/uni/MB_1_A0.1279_C-0.066_02000.png,0.12793103448275864,-0.06551724137931035,0.4291893424036281,0.7041930349008481
44,rd_out/uni/MB_1_A0.1303_C-0.066,rd_out/uni/MB_1_A0.1303_C-0.066_02000.png,0.1303448275862069,-0.06551724137931035,0.464172335600907,0.7404662237571017
45,rd_out/uni/MB_1_A0.1328_C-0.066,rd_out/uni/MB_1_A0.1328_C-0.066_02000.png,0.1327586206896552,-0.06551724137931035,0.4692913832199546,0.7549335625720663
46,rd_out/uni/MB_1_A0.1352_C-0.066,rd_out/uni/MB_1_A0.1352_C-0.066_02000.png,0.13517241379310346,-0.06551724137931035,0.5127834467120181,0.8463715891758772
47,rd_out/uni/MB_1_A0.1376_C-0.066,rd_out/uni/MB_1_A0.1376_C-0.066_02000.png,0.13758620689655174,-0.06551724137931035,0.546014739229025,0.7650426613486535
48,rd_out/uni/MB_1_A0.1400_C-0.066,rd_out/uni/MB_1_A0.1400_C-0.066_02000.png,0.14,-0.06551724137931035,0.5652097505668935,0.7608667968900058
49,rd_out/uni/MB_1_A0.0917_C-0.048,rd_out/uni/MB_1_A0.0917_C-0.048_02000.png,0.09172413793103447,-0.04827586206896552,0.027647392290249432,0.15728193223899326
50,rd_out/uni/MB_1_A0.0941_C-0.048,rd_out/uni/MB_1_A0.0941_C-0.048_02000.png,0.09413793103448276,-0.04827586206896552,0.08705215419501132,0.16693597533091953
51,rd_out/uni/MB_1_A0.0966_C-0.048,rd_out/uni/MB_1_A0.0966_C-0.048_02000.png,0.09655172413793103,-0.04827586206896552,0.1521031746031746,0.16578204817170838
