pattern,filebase,randomness,meanAngle,meanAspectRatio,meanACS,meanSqPx,EFD1,EFD2,EFD3,EFD4,EFD5,EFD6,EFD7,EFD8,EFD9,EFD10,EFD11,EFD12,EFD13,EFD14,EFD15,EFD16,EFD17,EFD18,EFD19,EFD20
3,rd_out/uni_q/crop/MB_1_A0.0800_C0.150_006_02000_rotx000_roty000_rotz000_crop_scale,157686,127.8658213247867,3.2700666666666667,226.70839999999998,5883,0.6284666666666666,0.5196666666666667,0.3148666666666667,0.1996,0.1686,0.161,0.1338,0.0976,0.09166666666666666,0.09613333333333333,0.08233333333333359,0.08093333333333495,0.08233333333333334,0.07640000000000106,0.08513333333333334,0.08493333333333333,0.0748,0.0836,0.09193333333333334,0.11693333333333333
3,rd_out/uni_q/crop/MB_1_A0.0800_C0.150_007_02000_rotx000_roty000_rotz000_crop_scale,158785,69.59742240802518,2.5165,257.428375,10929,0.5885,0.413875,0.344625,0.28325,0.201625,0.18725,0.14775,0.15775,0.14075000000000001,0.093875,0.1065,0.095125,0.0895,0.107625,0.084875,0.082375,0.063375,0.070125,0.056375,0.0655
4,rd_out/uni_q/crop/MB_1_A0.0800_C0.210_000_02000_rotx000_roty000_rotz000_crop_scale,152131,138.01631374810802,2.9026428571428573,118.76899999999999,2305.535714285714,0.43457142857142855,0.37257142857142855,0.21503571428571427,0.17260714285714285,0.13925,0.12846428571428573,0.11,0.0738214285714289,0.09203571428571429,0.08971428571428572,0.08407142857142857,0.07628571428571429,0.08510714285714285,0.08582142857142873,0.12571428571428572,0.18732142857142858,9.932214285714286,0.18535714285714286,0.1219642857142857,0.08503571428571428
4,rd_out/uni_q/crop/MB_1_A0.0800_C0.210_001_02000_rotx000_roty000_rotz000_crop_scale,153036,77.77124030876041,3.036642857142857,121.53989285714286,2339.535714285714,0.3487857142857143,0.314,0.18157142857142858,0.1417142857142857,0.11814285714285715,0.09142857142857143,0.07864285714285714,0.06882142857142858,0.06903571428571428,0.062464285714285715,0.05196428571428577,0.05842857142857143,0.05164285714285714,0.046714285714285715,0.048,0.048357142857142855,0.05435714285714286,0.041357142857142995,0.05085714285714286,0.05189285714285714
4,rd_out/uni_q/crop/MB_1_A0.0800_C0.210_002_02000_rotx000_roty000_rotz000_crop_scale,151779,144.2386307917751,2.7190333333333334,112.26663333333333,2210.733333333333,0.3932,0.33193333333333336,0.19196666666666667,0.16686666666666666,0.124,0.11596666666666666,0.11023333333333334,0.07550000000000023,0.08563333333333334,0.07596666666666667,0.07713333333333333,0.07006666666666667,0.0839,0.06093333333333353,0.08583333333333333,0.113,13.403133333333335,0.10736666666666667,0.07436666666666666,0.06216666666666667
4,rd_out/uni_q/crop/MB_1_A0.0800_C0.210_003_02000_rotx000_roty000_rotz000_crop_scale,151993,142.02648571189192,2.7638333333333334,111.19673333333333,2159.9,0.36006666666666665,0.3183666666666667,0.1574,0.14496666666666666,0.12046666666666667,0.08060000000000017,0.0969,0.06840000000000017,0.0902,0.07176666666666667,0.0769,0.1201,3.1582333333333334,0.12346666666666688,0.06663333333333334,0.11593333333333333,7.8608666666666664,0.1054,0.062233333333333335,0.05973333333333352
4,rd_out/uni_q/crop/MB_1_A0.0800_C0.210_004_02000_rotx000_roty000_rotz000_crop_scale,150727,2.606895717764476,3.047769230769231,132.34861538461539,2550.653846153846,0.40534615384615386,0.33584615384615385,0.15603846153846154,0.1446923076923077,0.09319230769230769,0.08965384615384615,0.08153846153846153,0.06973076923076924,0.06642307692307692,0.058346153846153846,0.05257692307692308,0.047115384615384615,0.043076923076923075,0.04673076923076923,0.04226923076923077,0.029769230769231145,0.04096153846153846,0.03588461538461538,0.034923076923076925,0.03169230769230769
4,rd_out/uni_q/crop/MB_1_A0.0800_C0.210_005_02000_rotx000_roty000_rotz000_crop_scale,153607,137.69549545120685,3.1846666666666668,124.38677777777778,2417.8888888888887,0.42837037037037035,0.3642222222222222,0.1682962962962963,0.16633333333333333,0.1197037037037037,0.10618518518518519,0.08888888888888889,0.07951851851851852,0.08033333333333334,0.06559259259259265,0.06788888888888889,0.06444444444444444,0.0597037037037037,0.05996296296296296,0.05759259259259259,0.05159259259259259,0.06248148148148148,0.04918518518518523,0.0705925925925926,0.10988888888888888
4,rd_out/uni_q/crop/MB_1_A0.0800_C0.210_006_02000_rotx000_roty000_rotz000_crop_scale,151882,100.7001143242109,2.959888888888889,119.28148148148148,2454.296296296296,0.6088888888888889,0.4222962962962963,0.24566666666666667,0.22285185185185186,0.16311111111111112,0.13377777777777777,0.1142962962962963,0.11185185185185186,0.09522222222222222,0.08733333333333333,0.0908888888888889,0.082111111111111107,0.055814814814814866,0.07407407407407407,0.07111111111111111,0.058555555555555555,0.06222222222222222,0.061222222222222344,0.06203703703703705,0.0673333333333338
4,rd_out/uni_q/crop/MB_1_A0.0800_C0.210_007_02000_rotx000_roty000_rotz000_crop_scale,152435,84.16762296770256,3.01275,122.10457142857143,2349.3571428571427,0.5020357142857143,0.409,0.21928571428571428,0.2377142857142857,0.14653571428571527,0.17217857142857143,0.10703571428571543,0.13521428571428573,0.1205,0.16767857142857143,6.476642857142857,0.15789285714285714,0.09903571428571428,0.14289285714285715,17.843571428571426,0.1345357142857143,0.07035714285714398,0.09742857142857142,0.08310714285714292,0.09046428571428637
5,rd_out/uni_q/crop/MB_1_A0.0800_C0.270_000_02000_rotx000_roty000_rotz000_crop_scale,136878,122.78885083750522,1.6346363636363637,54.13556818181818,912.5,0.2853181818181818,0.24711363636363637,0.14906818181818182,0.13097727272727272,0.10288636363636364,0.08918181818181818,0.08043181818181817,0.06759090909090909,0.056318181818182544,0.060954545454545456,0.057772727272727274,0.050818181818181894,0.05384090909090909,0.053159090909090906,0.05225,0.05043181818181818,0.06368181818181819,0.07686363636363643,4.2932500000000005,0.08581818181818182
5,rd_out/uni_q/crop/MB_1_A0.0800_C0.270_001_02000_rotx000_roty000_rotz000_crop_scale,136361,93.19399968953456,1.6874634146341463,56.16336585365854,972.0243902439024,0.2935853658536585,0.2213658536585366,0.13334146341463415,0.1263658536585366,0.10663414634146341,0.0946829268292683,0.07278048780487967,0.06960975609756097,0.07026829268292684,0.06670731707317074,0.06273170731707317,0.05921951219512242,0.07217073170731707,0.09158536585365853,2.8351463414634144,0.08504878048780488,0.06470731707317073,0.048121951219512404,0.05185365853658536,0.048902439024390246
5,rd_out/uni_q/crop/MB_1_A0.0800_C0.270_002_02000_rotx000_roty000_rotz000_crop_scale,136907,43.45286488524011,1.6917674418604651,54.504046511627905,941.7209302325581,0.32125581395348835,0.23667441860465116,0.16551162790697674,0.1305813953488372,0.1238139534883721,0.10844186046511628,0.09460465116279193,0.06700000000000032,0.09337209302325582,0.0762093023255814,0.09083720930232558,0.07567441860465147,0.09341860465116279,0.13286046511627908,2.4828139534883724,0.18034883720930234,13.216488372093023,0.14309302325581405,0.10332558139534884,0.08604651162790754
5,rd_out/uni_q/crop/MB_1_A0.0800_C0.270_003_02000_rotx000_roty000_rotz000_crop_scale,137053,92.08930416597173,1.7584878048780488,57.57036585365854,1005.2926829268292,0.2596341463414634,0.2288048780487805,0.14770731707317072,0.11246341463414648,0.111,0.09975609756097562,0.08846341463414634,0.11207317073170764,5.239414634146342,0.10909756097560976,0.06987804878048781,0.06660975609756098,0.07104878048780487,0.06285365853658657,0.08119512195121951,0.10763414634146341,3.4109268292682926,0.1690000000000001,11.334146341463414,0.13646341463414635
5,rd_out/uni_q/crop/MB_1_A0.0800_C0.270_004_02000_rotx000_roty000_rotz000_crop_scale,136933,44.195620609300065,1.7737560975609756,56.90482926829268,983.609756097561,0.3191219512195122,0.21914634146341463,0.14217073170731706,0.11870731707317073,0.10624390243902439,0.1048780487804878,0.07024390243902533,0.08280487804878049,0.06341463414634167,0.07678048780487805,0.06648780487804883,0.06356097560975649,0.06953658536585365,0.10865853658536585,2.2460731707317074,0.10026829268292684,0.07858536585365854,0.11073170731707334,0.9392682926829268,0.1121219512195122
5,rd_out/uni_q/crop/MB_1_A0.0800_C0.270_005_02000_rotx000_roty000_rotz000_crop_scale,137785,149.65136971171063,1.591860465116279,56.36020930232558,962.2093023255813,0.26513953488372094,0.2156279069767442,0.1479767441860465,0.11804651162790698,0.0996046511627907,0.08409302325581396,0.07009302325581396,0.06997674418604652,0.061023255813953486,0.05820930232558139,0.052465116279069766,0.04634883720930232,0.04469767441860465,0.04265116279069767,0.04272093023255814,0.03595348837209316,0.04018604651162791,0.03888372093023256,0.034511627906976754,0.03409302325581429
5,rd_out/uni_q/crop/MB_1_A0.0800_C0.270_006_02000_rotx000_roty000_rotz000_crop_scale,137369,24.175827907572447,1.5292173913043479,52.68669565217391,901.2826086956521,0.31280434782608696,0.2543913043478261,0.1691521739130435,0.14169565217391306,0.11836956521739131,0.10534782608695652,0.0962391304347826,0.08454347826086957,0.07895652173913044,0.06571739130434784,0.06982608695652175,0.06178260869565218,0.06341304347826086,0.05478260869565217,0.05702173913043478,0.048739130434782944,0.05128260869565223,0.06739130434782609,0.061934782608695685,0.09371739130434796
5,rd_out/uni_q/crop/MB_1_A0.0800_C0.270_007_02000_rotx000_roty000_rotz000_crop_scale,137056,66.85471046180105,1.7747272727272727,54.41756818181818,911.6590909090909,0.3416818181818182,0.2519318181818182,0.1588409090909091,0.15163636363636362,0.12045454545454545,0.11047727272727273,0.09452272727272727,0.09177272727272727,0.07465909090909119,0.07984090909090909,0.05802272727272742,0.07693181818181818,0.06320454545454571,0.08040909090909092,0.055181818181818186,0.06920454545454545,0.07786363636363636,0.1038409090909091,2.3118636363636362,0.10865909090909091
