,file_base,png_file_q,A,C,lightness,complexity
15,rd_out/uni/MB_1_A0.1062_C-0.100,rd_out/uni/MB_1_A0.1062_C-0.100_02000.png,0.10620689655172415,-0.1,0.0024603174603174604,0.15141878842948986
16,rd_out/uni/MB_1_A0.1086_C-0.100,rd_out/uni/MB_1_A0.1086_C-0.100_02000.png,0.10862068965517242,-0.1,0.005833333333333334,0.15959257796599513
17,rd_out/uni/MB_1_A0.1110_C-0.100,rd_out/uni/MB_1_A0.1110_C-0.100_02000.png,0.1110344827586207,-0.1,0.040328798185941046,0.17117364011292058
18,rd_out/uni/MB_1_A0.1134_C-0.100,rd_out/uni/MB_1_A0.1134_C-0.100_02000.png,0.11344827586206897,-0.1,0.05725056689342404,0.18487683371191432
19,rd_out/uni/MB_1_A0.1159_C-0.100,rd_out/uni/MB_1_A0.1159_C-0.100_02000.png,0.11586206896551725,-0.1,0.09038548752834467,0.18896630235081335
20,rd_out/uni/MB_1_A0.1183_C-0.100,rd_out/uni/MB_1_A0.1183_C-0.100_02000.png,0.11827586206896552,-0.1,0.15421201814058957,0.2234552498116481
21,rd_out/uni/MB_1_A0.1207_C-0.100,rd_out/uni/MB_1_A0.1207_C-0.100_02000.png,0.12068965517241381,-0.1,0.20136621315192743,0.2928197027630707
22,rd_out/uni/MB_1_A0.1231_C-0.100,rd_out/uni/MB_1_A0.1231_C-0.100_02000.png,0.12310344827586209,-0.1,0.2616893424036281,0.35660850351450846
23,rd_out/uni/MB_1_A0.1255_C-0.100,rd_out/uni/MB_1_A0.1255_C-0.100_02000.png,0.12551724137931036,-0.1,0.2840816326530612,0.43854108656888136
24,rd_out/uni/MB_1_A0.1279_C-0.100,rd_out/uni/MB_1_A0.1279_C-0.100_02000.png,0.12793103448275864,-0.1,0.32049319727891157,0.48423343715326694
25,rd_out/uni/MB_1_A0.1303_C-0.100,rd_out/uni/MB_1_A0.1303_C-0.100_02000.png,0.1303448275862069,-0.1,0.3525453514739229,0.5384812689135391
26,rd_out/uni/MB_1_A0.1328_C-0.100,rd_out/uni/MB_1_A0.1328_C-0.100_02000.png,0.1327586206896552,-0.1,0.38860544217687076,0.7158656074337721
27,rd_out/uni/MB_1_A0.1352_C-0.100,rd_out/uni/MB_1_A0.1352_C-0.100_02000.png,0.13517241379310346,-0.1,0.4049092970521542,0.7517038307930659
28,rd_out/uni/MB_1_A0.1376_C-0.100,rd_out/uni/MB_1_A0.1376_C-0.100_02000.png,0.13758620689655174,-0.1,0.45145691609977323,0.7880401014728694
29,rd_out/uni/MB_1_A0.1400_C-0.100,rd_out/uni/MB_1_A0.1400_C-0.100_02000.png,0.14,-0.1,0.4593424036281179,0.8256135273985498
30,rd_out/uni/MB_1_A0.0700_C-0.083,rd_out/uni/MB_1_A0.0700_C-0.083_02000.png,0.07,-0.08275862068965517,0.0,0.0
31,rd_out/uni/MB_1_A0.0724_C-0.083,rd_out/uni/MB_1_A0.0724_C-0.083_02000.png,0.07241379310344828,-0.08275862068965517,0.0,0.0
32,rd_out/uni/MB_1_A0.0748_C-0.083,rd_out/uni/MB_1_A0.0748_C-0.083_02000.png,0.07482758620689656,-0.08275862068965517,0.0,0.0
33,rd_out/uni/MB_1_A0.0772_C-0.083,rd_out/uni/MB_1_A0.0772_C-0.083_02000.png,0.07724137931034483,-0.08275862068965517,0.0,0.0
